update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
126,516096,8.96763,0.0,0.0,0.0,0.010741,3.090842,0.725139
127,520192,6.74424,0.0,0.0,0.0,0.013367,3.427607,0.697448
128,524288,5.50156,0.81667,2428.74633,2971257.50451,0.013882,3.660713,0.71535
129,528384,9.42939,0.0,0.0,0.0,0.011274,3.367574,0.703492
130,532480,8.72754,0.0,0.0,0.0,0.010122,2.590316,0.773053
131,536576,7.17653,0.0,0.0,0.0,0.011658,2.832704,0.76164
132,540672,7.85814,0.0,0.0,0.0,0.010583,3.830232,0.77739
133,544768,8.01287,0.0,0.0,0.0,0.013362,3.901002,0.688118
134,548864,7.76916,0.0,0.0,0.0,0.012359,3.900691,0.758224
135,552960,4.6538,0.0,0.0,0.0,0.009644,3.247947,0.738926
136,557056,7.81352,0.81667,2863.46903,3834368.49201,0.01173,2.668179,0.750589
137,561152,6.39939,0.0,0.0,0.0,0.010375,3.707251,0.786671
138,565248,8.12154,0.0,0.0,0.0,0.012236,2.994775,0.823109
139,569344,8.68658,0.0,0.0,0.0,0.011116,3.163236,0.836003
140,573440,6.32986,0.0,0.0,0.0,0.012043,3.26509,0.801621
141,577536,4.50359,0.0,0.0,0.0,0.010899,4.158081,0.814979
142,581632,8.99077,0.0,0.0,0.0,0.010438,3.841418,0.835425
143,585728,9.04276,0.0,0.0,0.0,0.011952,3.66647,0.786184
144,589824,7.31319,0.78333,2468.23178,3842293.58022,0.006851,2.871863,0.764144
145,593920,4.59593,0.0,0.0,0.0,0.008978,3.507122,0.777633
146,598016,7.69015,0.0,0.0,0.0,0.014421,3.269788,0.745578
147,602112,6.20169,0.0,0.0,0.0,0.012879,3.556799,0.756053
148,606208,6.33116,0.0,0.0,0.0,0.010441,3.239426,0.753475
149,610304,7.52814,0.0,0.0,0.0,0.012146,3.603423,0.8071
150,614400,6.37016,0.0,0.0,0.0,0.008941,3.267761,0.752661
151,618496,4.88865,0.0,0.0,0.0,0.007848,3.581593,0.800001
