update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
1,4096,3.51616,0.0,0.0,0.0,0.020624,3.823812,0.204508
2,8192,1.337,0.0,0.0,0.0,0.016935,4.380689,0.210845
3,12288,1.79381,0.0,0.0,0.0,0.018302,3.768865,0.219316
4,16384,1.51604,0.0,0.0,0.0,0.020946,3.950779,0.216934
5,20480,4.55388,0.0,0.0,0.0,0.02889,3.731942,0.229433
6,24576,3.28283,0.0,0.0,0.0,0.022061,3.830802,0.233644
7,28672,3.32651,0.0,0.0,0.0,0.020495,4.076807,0.245428
8,32768,4.13483,0.0,0.0,0.0,0.028452,3.815969,0.25301
9,36864,2.70178,0.0,0.0,0.0,0.022689,3.847318,0.23535
10,40960,0.6451,0.0,0.0,0.0,0.017016,3.788925,0.26697
11,45056,1.68656,0.0,0.0,0.0,0.024778,4.322408,0.260419
12,49152,2.05343,0.0,0.0,0.0,0.021964,4.038109,0.252377
13,53248,1.33958,0.0,0.0,0.0,0.024413,3.912666,0.254536
14,57344,0.88606,0.0,0.0,0.0,0.030184,4.313541,0.24934
15,61440,3.84332,0.0,0.0,0.0,0.029607,3.989905,0.263731
16,65536,5.245,0.0,0.0,0.0,0.024552,4.057921,0.269682
17,69632,5.0019,0.0,0.0,0.0,0.022844,4.10922,0.253843
18,73728,2.78511,0.0,0.0,0.0,0.022515,4.657642,0.26998
19,77824,-0.32065,0.0,0.0,0.0,0.022776,4.083665,0.261541
20,81920,3.27644,0.3,1006.5519,3660000.0,0.027646,3.473175,0.261326
21,86016,2.82358,0.0,0.0,0.0,0.018394,3.943033,0.251742
22,90112,1.56521,0.0,0.0,0.0,0.026544,4.428998,0.251106
23,94208,-2.16831,0.0,0.0,0.0,0.024341,3.816384,0.266429
24,98304,1.90698,0.0,0.0,0.0,0.017849,4.21167,0.281294
25,102400,1.05171,0.0,0.0,0.0,0.030233,4.389613,0.274527
26,106496,-0.45819,0.0,0.0,0.0,0.021868,4.195039,0.268681
27,110592,2.27481,0.0,0.0,0.0,0.02419,4.164251,0.269091
28,114688,-2.32965,0.0,0.0,0.0,0.026359,4.095773,0.257941
29,118784,-0.1393,0.0,0.0,0.0,0.028383,3.579521,0.267764
30,122880,2.56855,0.0,0.0,0.0,0.023961,4.255029,0.290485
31,126976,2.03688,0.0,0.0,0.0,0.028748,4.471085,0.291161
32,131072,0.14141,0.0,0.0,0.0,0.028827,4.698485,0.294824
33,135168,3.05335,0.0,0.0,0.0,0.022161,4.207401,0.29701
34,139264,-0.6427,0.0,0.0,0.0,0.027462,4.064799,0.278471
35,143360,4.0015,0.0,0.0,0.0,0.024383,4.568186,0.277019
36,147456,0.14937,0.0,0.0,0.0,0.022624,4.015722,0.280186
37,151552,3.53055,0.0,0.0,0.0,0.025521,4.292184,0.286241
38,155648,3.64182,0.0,0.0,0.0,0.025827,4.526542,0.289619
39,159744,0.78364,0.0,0.0,0.0,0.020948,4.126598,0.282205
40,163840,2.24199,0.46,1702.46577,3800000.0,0.02187,4.414107,0.293511
41,167936,-0.28001,0.0,0.0,0.0,0.025442,4.506833,0.292177
42,172032,6.17954,0.0,0.0,0.0,0.021363,3.93536,0.28562
43,176128,4.66405,0.0,0.0,0.0,0.027793,4.195031,0.282908
44,180224,-0.59703,0.0,0.0,0.0,0.018302,3.530783,0.28166
45,184320,3.1465,0.0,0.0,0.0,0.023861,4.469363,0.278815
46,188416,3.68472,0.0,0.0,0.0,0.024965,3.814923,0.283687
47,192512,0.71831,0.0,0.0,0.0,0.027274,3.927263,0.258679
48,196608,0.03628,0.0,0.0,0.0,0.023044,3.731738,0.286233
49,200704,-0.479,0.0,0.0,0.0,0.025533,5.074009,0.280963
50,204800,3.13162,0.0,0.0,0.0,0.024858,4.044864,0.288408
51,208896,0.43239,0.0,0.0,0.0,0.024117,4.446368,0.288321
52,212992,1.80326,0.0,0.0,0.0,0.021715,3.862374,0.290039
53,217088,3.58456,0.0,0.0,0.0,0.019104,3.977182,0.30014
54,221184,3.97372,0.0,0.0,0.0,0.02859,4.002963,0.284698
55,225280,3.54197,0.0,0.0,0.0,0.02065,3.410481,0.305076
56,229376,2.86407,0.0,0.0,0.0,0.027217,4.111281,0.301549
57,233472,1.05253,0.0,0.0,0.0,0.027741,3.989144,0.307191
58,237568,4.69014,0.0,0.0,0.0,0.023411,4.142974,0.307542
59,241664,0.43589,0.0,0.0,0.0,0.027981,3.983575,0.301477
60,245760,1.02791,0.34,1246.34591,2600000.0,0.024599,3.804571,0.308848
61,249856,2.54616,0.0,0.0,0.0,0.026806,4.301455,0.307672
62,253952,2.37549,0.0,0.0,0.0,0.026158,4.962985,0.316465
63,258048,3.79931,0.0,0.0,0.0,0.024681,4.324683,0.325088
64,262144,4.49349,0.0,0.0,0.0,0.024311,4.046983,0.318767
65,266240,2.2984,0.0,0.0,0.0,0.021873,3.839961,0.326078
66,270336,1.60801,0.0,0.0,0.0,0.023535,4.23417,0.317716
67,274432,1.8224,0.0,0.0,0.0,0.024771,4.254049,0.343345
68,278528,3.49038,0.0,0.0,0.0,0.021921,4.142134,0.333574
69,282624,0.95847,0.0,0.0,0.0,0.025127,4.373112,0.326173
70,286720,1.08025,0.0,0.0,0.0,0.018924,3.431633,0.343185
71,290816,2.39412,0.0,0.0,0.0,0.021915,4.207081,0.326481
72,294912,2.63089,0.0,0.0,0.0,0.020202,4.489138,0.32486
73,299008,2.99913,0.0,0.0,0.0,0.026641,4.088789,0.320172
74,303104,3.49031,0.0,0.0,0.0,0.020378,4.715656,0.328991
75,307200,-0.70989,0.0,0.0,0.0,0.028623,4.498514,0.346392
76,311296,3.58645,0.0,0.0,0.0,0.025099,4.34887,0.346
77,315392,3.45041,0.0,0.0,0.0,0.021244,4.049096,0.33628
78,319488,1.48651,0.0,0.0,0.0,0.024341,3.857241,0.329143
79,323584,3.12487,0.0,0.0,0.0,0.019873,4.256632,0.323589
80,327680,2.56164,0.14,695.34088,2920000.0,0.020203,4.367854,0.33169
81,331776,-1.05421,0.0,0.0,0.0,0.022351,4.227246,0.328944
82,335872,1.53259,0.0,0.0,0.0,0.017822,4.177043,0.333455
83,339968,3.84846,0.0,0.0,0.0,0.023908,3.777294,0.319951
84,344064,1.14859,0.0,0.0,0.0,0.01945,4.122662,0.326555
85,348160,1.44989,0.0,0.0,0.0,0.016399,4.547878,0.315396
86,352256,2.2194,0.0,0.0,0.0,0.024973,4.699577,0.321585
87,356352,1.55214,0.0,0.0,0.0,0.026141,4.131506,0.344197
88,360448,0.77663,0.0,0.0,0.0,0.022227,4.29111,0.328322
89,364544,1.75375,0.0,0.0,0.0,0.023526,3.838609,0.332633
90,368640,3.1252,0.0,0.0,0.0,0.02122,4.159378,0.338835
91,372736,3.91224,0.0,0.0,0.0,0.022079,3.975415,0.33028
92,376832,1.32776,0.0,0.0,0.0,0.02431,4.118587,0.354762
93,380928,2.10792,0.0,0.0,0.0,0.022498,4.669277,0.334771
94,385024,1.24964,0.0,0.0,0.0,0.023924,4.214949,0.336551
95,389120,2.16392,0.0,0.0,0.0,0.02391,4.184123,0.329972
