update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
82,167936,-5.6375,0.0,0.0,0.0,-0.001056,7.134664,0.989318
83,169984,-5.61,0.0,0.0,0.0,-0.003737,8.111659,0.962539
84,172032,-3.63,0.0,0.0,0.0,-0.003114,6.440672,0.926157
85,174080,-3.6125,0.0,0.0,0.0,-0.002835,6.964876,0.919075
86,176128,-4.57,0.0,0.0,0.0,-0.001944,8.724913,0.989932
87,178176,-6.8425,0.0,0.0,0.0,-0.004897,7.020654,0.94589
88,180224,-5.855,0.0,0.0,0.0,-0.002933,7.300158,0.984579
89,182272,-7.6525,0.0,0.0,0.0,-0.001547,5.895062,0.931667
90,184320,-4.7625,0.1,234.7425,3600000.0,-0.003689,6.832142,0.926491
91,186368,-2.865,0.0,0.0,0.0,-0.002674,7.669863,0.937202
92,188416,-1.91,0.0,0.0,0.0,-0.001716,7.177943,0.927972
93,190464,-6.075,0.0,0.0,0.0,-0.004556,7.13356,0.936399
94,192512,-2.895,0.0,0.0,0.0,-0.001332,9.130998,0.925223
95,194560,-4.1425,0.0,0.0,0.0,-0.004277,7.470398,0.949403
96,196608,-3.68,0.0,0.0,0.0,0.000119,7.580332,0.94936
97,198656,-1.8075,0.0,0.0,0.0,-0.001401,7.199357,0.914825
98,200704,-4.2975,0.0,0.0,0.0,0.000659,6.484544,0.943402
99,202752,-5.0075,0.0,0.0,0.0,-0.002535,7.050641,0.946478
100,204800,-1.7875,0.03333,228.07229,2733333.33333,-0.001073,6.754284,0.879022
101,206848,-5.2325,0.0,0.0,0.0,-0.004655,9.352771,0.980891
102,208896,-6.025,0.0,0.0,0.0,-0.003081,6.48834,0.878366
103,210944,-2.6925,0.0,0.0,0.0,-0.003348,6.130997,0.915375
104,212992,-4.1775,0.0,0.0,0.0,-0.001589,7.162435,0.876832
105,215040,-5.135,0.0,0.0,0.0,-0.002351,6.507109,0.927789
106,217088,-3.655,0.0,0.0,0.0,-0.006684,5.465209,0.891275
107,219136,-4.2625,0.0,0.0,0.0,-0.001938,6.186427,0.88868
108,221184,-3.8675,0.0,0.0,0.0,-0.002929,6.179489,0.916475
109,223232,-2.8,0.0,0.0,0.0,-0.001775,6.67411,0.939955
110,225280,-6.2025,0.13333,634.03139,3692073.46453,-0.001385,7.368565,0.89961
111,227328,-1.7925,0.0,0.0,0.0,0.001829,6.083829,0.928744
112,229376,-8.2625,0.0,0.0,0.0,-0.004584,5.56934,0.90688
113,231424,-5.9625,0.0,0.0,0.0,-0.001528,6.075105,0.908746
114,233472,-7.505,0.0,0.0,0.0,-0.002837,7.406883,0.869692
115,235520,-5.6625,0.0,0.0,0.0,-0.003094,6.995042,0.896445
116,237568,-3.7975,0.0,0.0,0.0,-0.00186,8.39893,0.907666
117,239616,-3.1225,0.0,0.0,0.0,-0.003101,6.282913,0.945386
118,241664,-5.2225,0.0,0.0,0.0,-0.006734,7.045839,0.869745
119,243712,-7.255,0.0,0.0,0.0,5.5e-05,6.305517,0.922601
120,245760,-2.9875,0.23333,954.0892,3600000.0,0.000932,7.622252,0.895894
121,247808,-5.665,0.0,0.0,0.0,-0.002724,6.072166,0.884387
122,249856,-4.9,0.0,0.0,0.0,-0.003214,9.34659,0.918174
123,251904,-4.36,0.0,0.0,0.0,-0.004592,7.989449,0.892093
124,253952,-5.7975,0.0,0.0,0.0,-0.007923,7.75018,0.912781
125,256000,-4.57,0.0,0.0,0.0,-0.002607,9.613726,0.958226
126,258048,-4.5475,0.0,0.0,0.0,-0.004405,6.655981,0.906531
127,260096,-2.55,0.0,0.0,0.0,-0.002472,6.858496,0.906325
128,262144,-8.2,0.0,0.0,0.0,-0.002993,7.04835,0.921567
129,264192,-3.75,0.0,0.0,0.0,-0.001461,8.288923,0.933731
130,266240,-5.69,0.06667,277.36148,3000000.0,-0.004569,7.461485,0.939522
131,268288,-6.1075,0.0,0.0,0.0,-0.003455,7.080992,0.889306
132,270336,-5.235,0.0,0.0,0.0,-0.004138,8.110159,0.941518
133,272384,-3.96,0.0,0.0,0.0,-0.001022,8.767581,0.929468
134,274432,-6.02,0.0,0.0,0.0,-0.002195,8.09416,0.892135
135,276480,-6.3175,0.0,0.0,0.0,-0.006642,7.704389,0.87003
136,278528,-4.17,0.0,0.0,0.0,-0.003354,6.374649,0.853969
137,280576,-2.2675,0.0,0.0,0.0,-0.003025,6.081191,0.904613
138,282624,-3.65,0.0,0.0,0.0,-0.00076,6.087864,0.906545
139,284672,-3.7125,0.0,0.0,0.0,-0.003547,6.551031,0.876042
140,286720,-3.4,0.33333,1160.94251,2860139.09214,-0.002764,8.062344,0.876819
141,288768,-6.055,0.0,0.0,0.0,-0.00041,6.606089,0.918896
142,290816,-5.2325,0.0,0.0,0.0,-0.000822,6.86591,0.93444
143,292864,-4.4925,0.0,0.0,0.0,0.000586,6.540328,0.952385
144,294912,-6.2775,0.0,0.0,0.0,-0.001384,8.517492,0.944375
145,296960,-3.68,0.0,0.0,0.0,-0.000804,7.185388,0.952002
146,299008,-6.4325,0.0,0.0,0.0,-0.004675,7.459552,0.956874
