update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
1,4096,10.72323,0.0,0.0,0.0,0.004739,3.648221,1.294768
2,8192,10.93477,0.0,0.0,0.0,0.006239,3.469199,1.28638
3,12288,10.65215,0.0,0.0,0.0,0.007339,3.366277,1.284999
4,16384,10.67419,0.0,0.0,0.0,0.00886,3.53868,1.215881
5,20480,11.58721,0.0,0.0,0.0,0.005726,3.992804,1.245952
6,24576,11.10187,0.0,0.0,0.0,0.008659,3.525682,1.246573
7,28672,10.13061,0.0,0.0,0.0,0.0095,3.447348,1.245126
8,32768,10.83356,0.0,0.0,0.0,0.008478,4.220403,1.284265
9,36864,11.73865,0.0,0.0,0.0,0.006548,3.765986,1.313747
10,40960,10.27742,0.0,0.0,0.0,0.008144,3.547383,1.282664
11,45056,9.24443,0.0,0.0,0.0,0.002331,4.183218,1.330924
12,49152,10.33038,0.0,0.0,0.0,0.007097,3.691154,1.335124
13,53248,8.7135,0.0,0.0,0.0,0.006553,3.581484,1.309367
14,57344,9.21445,0.0,0.0,0.0,0.009012,3.850539,1.331947
15,61440,9.14809,0.0,0.0,0.0,0.004407,3.913863,1.359215
16,65536,9.8718,0.0,0.0,0.0,0.005121,3.135527,1.280512
17,69632,10.39903,0.0,0.0,0.0,0.006968,3.592886,1.301261
18,73728,11.12236,0.0,0.0,0.0,0.005986,4.139566,1.292589
19,77824,10.71058,0.0,0.0,0.0,0.005607,4.263461,1.276737
20,81920,11.9614,0.94,3332.18372,5334174.94877,0.003879,3.857253,1.268019
21,86016,11.69416,0.0,0.0,0.0,0.007712,3.691518,1.254686
22,90112,9.5343,0.0,0.0,0.0,0.005293,3.699525,1.319582
23,94208,11.49099,0.0,0.0,0.0,0.005348,4.161802,1.239302
