update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
1,4096,3.36,0.0,0.0,0.0,0.014366,2.944686,0.163362
2,8192,2.0775,0.0,0.0,0.0,0.022628,2.338813,0.156928
3,12288,5.3775,0.0,0.0,0.0,0.019523,2.67623,0.155805
4,16384,7.6375,0.0,0.0,0.0,0.012713,2.792991,0.166329
5,20480,2.715,0.0,0.0,0.0,0.021894,2.906766,0.166444
6,24576,2.385,0.0,0.0,0.0,0.019754,2.8569,0.163362
7,28672,0.8625,0.0,0.0,0.0,0.019648,2.611217,0.157595
8,32768,1.8875,0.0,0.0,0.0,0.020235,3.443299,0.160091
9,36864,0.6625,0.0,0.0,0.0,0.014696,3.029017,0.151134
10,40960,4.62,0.0,0.0,0.0,0.017647,2.098496,0.169041
11,45056,4.515,0.0,0.0,0.0,0.015894,2.590997,0.160475
12,49152,5.3975,0.0,0.0,0.0,0.020943,2.692226,0.16686
13,53248,4.6475,0.0,0.0,0.0,0.01511,2.344274,0.155845
14,57344,3.8825,0.0,0.0,0.0,0.019844,2.665152,0.163498
15,61440,1.235,0.0,0.0,0.0,0.014696,2.032719,0.161284
16,65536,3.87,0.0,0.0,0.0,0.016027,2.863886,0.161686
17,69632,3.86,0.0,0.0,0.0,0.022108,2.829755,0.157954
18,73728,6.8825,0.0,0.0,0.0,0.016051,2.346849,0.150653
19,77824,1.525,0.0,0.0,0.0,0.018637,2.538445,0.155076
20,81920,3.135,0.06,128.06951,1040000.0,0.014406,2.882413,0.157545
21,86016,4.525,0.0,0.0,0.0,0.034167,2.774815,0.157323
22,90112,3.1325,0.0,0.0,0.0,0.020534,2.44994,0.155321
23,94208,5.375,0.0,0.0,0.0,0.015378,2.999687,0.161315
24,98304,3.8825,0.0,0.0,0.0,0.016909,2.72732,0.156177
25,102400,3.7875,0.0,0.0,0.0,0.018875,2.297747,0.165003
26,106496,5.3775,0.0,0.0,0.0,0.013398,2.609358,0.155743
27,110592,5.375,0.0,0.0,0.0,0.021082,2.842431,0.16448
28,114688,1.63,0.0,0.0,0.0,0.01651,2.785254,0.164586
29,118784,1.435,0.0,0.0,0.0,0.022133,2.545435,0.170304
30,122880,3.0275,0.0,0.0,0.0,0.02244,2.608197,0.168648
31,126976,2.2625,0.0,0.0,0.0,0.01582,3.606172,0.173216
32,131072,2.82,0.0,0.0,0.0,0.021646,2.61959,0.170007
33,135168,3.6775,0.0,0.0,0.0,0.019273,2.875698,0.173978
34,139264,2.36,0.0,0.0,0.0,0.01606,2.561388,0.172306
35,143360,4.555,0.0,0.0,0.0,0.02412,2.800854,0.176302
36,147456,3.0375,0.0,0.0,0.0,0.014075,2.050867,0.166062
37,151552,0.9875,0.0,0.0,0.0,0.018611,2.970758,0.164161
38,155648,5.9575,0.0,0.0,0.0,0.01739,2.277544,0.166456
39,159744,5.3725,0.0,0.0,0.0,0.016556,3.127457,0.163786
40,163840,6.89,0.12,234.55429,1400000.0,0.013928,3.367716,0.165053
41,167936,2.1575,0.0,0.0,0.0,0.01782,3.125248,0.172575
42,172032,5.945,0.0,0.0,0.0,0.017624,3.08433,0.151268
43,176128,4.6275,0.0,0.0,0.0,0.011489,1.972486,0.149729
44,180224,5.385,0.0,0.0,0.0,0.016779,2.712276,0.1781
45,184320,3.0375,0.0,0.0,0.0,0.016968,2.780942,0.173141
46,188416,2.285,0.0,0.0,0.0,0.016423,2.966608,0.173208
47,192512,2.8325,0.0,0.0,0.0,0.015413,2.031884,0.173805
48,196608,5.62,0.0,0.0,0.0,0.015332,2.820982,0.178391
49,200704,0.46,0.0,0.0,0.0,0.019782,2.715778,0.167668
50,204800,4.6375,0.0,0.0,0.0,0.014445,3.164555,0.16429
51,208896,6.8825,0.0,0.0,0.0,0.013518,2.823689,0.156625
52,212992,6.6925,0.0,0.0,0.0,0.017372,2.404969,0.157767
53,217088,3.125,0.0,0.0,0.0,0.022012,2.708859,0.167898
54,221184,2.4,0.0,0.0,0.0,0.012677,2.393698,0.166378
55,225280,6.14,0.0,0.0,0.0,0.017041,2.289888,0.159192
56,229376,4.54,0.0,0.0,0.0,0.014652,2.77212,0.160863
57,233472,6.1225,0.0,0.0,0.0,0.018985,2.671189,0.153841
58,237568,3.885,0.0,0.0,0.0,0.016968,2.246921,0.160325
59,241664,6.0275,0.0,0.0,0.0,0.016252,2.090882,0.157118
