update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
84,172032,-0.72,0.0,0.0,0.0,0.012497,8.042205,0.815059
85,174080,0.05,0.0,0.0,0.0,0.012723,6.866543,0.794593
86,176128,-2.5,0.0,0.0,0.0,0.016496,6.951747,0.778618
87,178176,0.37,0.0,0.0,0.0,0.009144,7.592937,0.799712
88,180224,-3.9175,0.0,0.0,0.0,0.00897,7.493859,0.791099
89,182272,0.0625,0.0,0.0,0.0,0.016354,7.7789,0.773768
90,184320,-3.015,0.0,0.0,0.0,0.019854,9.030625,0.804368
91,186368,-0.8175,0.0,0.0,0.0,0.01575,7.803655,0.806456
92,188416,-2.405,0.0,0.0,0.0,0.011625,6.942625,0.772999
93,190464,-1.345,0.0,0.0,0.0,0.012697,8.409523,0.780908
94,192512,0.045,0.0,0.0,0.0,0.017226,8.55077,0.794601
95,194560,-0.48,0.0,0.0,0.0,0.017929,7.717199,0.77052
96,196608,-1.64,0.0,0.0,0.0,0.015812,9.178764,0.799914
97,198656,-1.7425,0.0,0.0,0.0,0.017458,7.962028,0.805221
98,200704,1.11,0.0,0.0,0.0,0.01781,8.526675,0.793958
99,202752,0.195,0.0,0.0,0.0,0.013526,6.62175,0.758351
100,204800,1.6525,0.2,682.38991,2133333.33333,0.014911,8.588964,0.814003
101,206848,-2.42,0.0,0.0,0.0,0.018307,7.55566,0.786334
102,208896,-1.745,0.0,0.0,0.0,0.014145,8.339165,0.771444
103,210944,-1.6525,0.0,0.0,0.0,0.017424,8.748948,0.786359
104,212992,-4.95,0.0,0.0,0.0,0.016681,8.3744,0.754941
105,215040,-2.735,0.0,0.0,0.0,0.017172,7.447228,0.737777
106,217088,0.7225,0.0,0.0,0.0,0.012702,8.281698,0.744375
107,219136,0.6175,0.0,0.0,0.0,0.01194,8.070879,0.781372
108,221184,-2.715,0.0,0.0,0.0,0.01221,7.297022,0.764768
109,223232,-2.9725,0.0,0.0,0.0,0.017756,6.924109,0.753673
