update,timestep,mean_reward,mean_bdr,mean_delay,mean_energy,policy_loss,value_loss,entropy
1,4096,4.87212,0.0,0.0,0.0,0.037952,24.716886,0.319465
2,8192,9.94,0.0,0.0,0.0,0.039445,28.325803,0.343149
3,12288,4.72818,0.0,0.0,0.0,0.034192,24.244323,0.406766
4,16384,8.12914,0.0,0.0,0.0,0.033673,25.939051,0.413375
5,20480,6.83554,0.0,0.0,0.0,0.039213,22.929465,0.422591
6,24576,7.92198,0.0,0.0,0.0,0.034803,22.531868,0.41797
7,28672,7.7291,0.0,0.0,0.0,0.034183,20.440337,0.416035
8,32768,6.97638,0.0,0.0,0.0,0.027789,19.231827,0.444133
9,36864,5.75253,0.0,0.0,0.0,0.026061,18.008012,0.429675
10,40960,6.744,0.0,0.0,0.0,0.027735,16.542736,0.414537
11,45056,8.55854,0.0,0.0,0.0,0.030989,15.060452,0.439314
12,49152,7.09772,0.0,0.0,0.0,0.024841,13.350952,0.448582
13,53248,5.85408,0.0,0.0,0.0,0.016298,12.46198,0.462828
14,57344,7.96277,0.0,0.0,0.0,0.023852,12.630015,0.472541
15,61440,3.85833,0.0,0.0,0.0,0.018889,10.933013,0.479325
16,65536,10.46225,0.0,0.0,0.0,0.021157,11.413537,0.446056
17,69632,7.94519,0.0,0.0,0.0,0.019128,10.223183,0.4875
18,73728,7.67745,0.0,0.0,0.0,0.021991,9.817756,0.451506
19,77824,9.14414,0.0,0.0,0.0,0.021458,9.260767,0.422251
20,81920,6.62403,0.84,3113.38065,3640000.0,0.023033,8.601122,0.42765
21,86016,8.94309,0.0,0.0,0.0,0.023352,7.935488,0.414487
22,90112,5.52575,0.0,0.0,0.0,0.013346,8.047457,0.404649
23,94208,5.62786,0.0,0.0,0.0,0.014549,7.3611,0.423453
24,98304,9.15075,0.0,0.0,0.0,0.017697,7.136479,0.451179
25,102400,10.48287,0.0,0.0,0.0,0.019364,5.911031,0.429976
26,106496,8.01784,0.0,0.0,0.0,0.012072,5.966735,0.446676
27,110592,8.30938,0.0,0.0,0.0,0.018107,5.343696,0.428472
28,114688,7.42049,0.0,0.0,0.0,0.016603,5.411468,0.459823
29,118784,4.30706,0.0,0.0,0.0,0.02242,4.350227,0.472623
30,122880,7.27783,0.0,0.0,0.0,0.015451,4.44781,0.488685
31,126976,7.45986,0.0,0.0,0.0,0.011713,4.112429,0.467286
32,131072,5.91019,0.0,0.0,0.0,0.019604,3.684244,0.466371
